Ano,Distribuidora,Bilheteria,Público,Sessões,Estreias
2026,Sony Pictures,7602.1,253.0,14.0,
2026,Sato Company,4910.0,414.0,7.0,
2026,Paris Filmes,32138.45,1487.0,399.0,1.0
2025,Warner,0.0,6.0,1.0,
2025,Sony Pictures,54770453.300000004,2704306.0,90902.0,5.0
2025,Sato Company,414034.46,18995.0,1048.0,5.0
2025,Paris Filmes,567952.61,48091.0,4903.0,2.0
2025,Cinecolor,342601.68,18124.0,1039.0,1.0
2024,Warner,1075091.22,53072.0,9435.0,1.0
2024,Trafalgar,0.0,7365.0,74.0,1.0
2024,Sony Pictures,10275750.24,644571.0,32964.0,7.0
2024,Sato Company,7359686.66,445461.0,14718.0,1.0
2024,Cinecolor,0.0,12707.0,1329.0,1.0
2023,Cinecolor,3288018.95,160677.0,6738.0,2.0
2023,Sony Pictures,1008469.26,48907.0,4200.0,2.0
2023,Paris Filmes,552350.63,30084.0,6056.0,1.0
2022,Sony Pictures,11354486.67,650841.0,51627.0,4.0
2022,Diamond Films,6452119.95,369766.0,15635.0,1.0
2022,Paris Filmes,83727.78,5057.0,1624.0,1.0
2021,Cinecolor,1469872.23,88438.0,8012.0,2.0
2020,Cinecolor,38950.0,2469.0,415.0,1.0
2019,Fox,18138269.0,1320577.0,23549.0,1.0
2018,Espaço Filmes,22622.0,1605.0,111.0,
2018,Diamond Films,12689.0,805.0,451.0,1.0
2017,Espaço Filmes,100088.78,8602.0,771.0,1.0
2017,Cinemark,73990.99,4017.0,44.0,1.0
2017,Cinecolor,716260.14,43813.0,518.0,1.0
2016,Califórnia,10854.57,767.0,11.0,
2015,PlayArte,807843.0,69071.0,2087.0,1.0
2015,Fox,4103059.0,345812.0,4744.0,1.0
2015,Califórnia,124334.52,10295.0,288.0,2.0
2014,PlayArte,408.0,107.0,12.0,
2014,Diamond Films,1089.59,319.0,23.0,
2014,Califórnia,246067.57,20147.0,431.0,1.0
